Tanggal,Kab/Kota,Harga
2021-03-22,Kab. Situbondo,10500
2021-03-22,Kab. Sumenep,10500
2021-03-22,Kab. Trenggalek,10000
2021-03-22,Kab. Tuban,9500
2021-03-22,Kab. Tulungagung,9500
2021-03-22,Kota Batu,
2021-03-22,Kota Blitar,10500
2021-03-22,Kota Kediri,10000
2021-03-22,Kota Madiun,10000
2021-03-22,Kota Malang,10500
2021-03-22,Kota Mojokerto,11000
2021-03-22,Kota Pasuruan,11000
2021-03-22,Kota Probolinggo,10000
2021-03-22,Kota Surabaya,10500
2021-03-23,Kab. Bangkalan,11000
2021-03-23,Kab. Banyuwangi,10000
2021-03-23,Kab. Blitar,9500
2021-03-23,Kab. Bojonegoro,10500
2021-03-23,Kab. Bondowoso,10500
2021-03-23,Kab. Gresik,10600
2021-03-23,Kab. Jember,11000
2021-03-23,Kab. Jombang,9500
2021-03-23,Kab. Kediri,9500
2021-03-23,Kab. Lamongan,10000
2021-03-23,Kab. Lumajang,10500
2021-03-23,Kab. Madiun,9750
2021-03-23,Kab. Magetan,10000
2021-03-23,Kab. Malang,
2021-03-23,Kab. Mojokerto,9300
2021-03-23,Kab. Nganjuk,9300
2021-03-23,Kab. Ngawi,9000
2021-03-23,Kab. Pacitan,9800
2021-03-23,Kab. Pamekasan,11000
2021-03-23,Kab. Pasuruan,10500
2021-03-23,Kab. Ponorogo,11000
2021-03-23,Kab. Probolinggo,9600
2021-03-23,Kab. Sampang,10500
2021-03-23,Kab. Sidoarjo,10300
2021-03-23,Kab. Situbondo,10500
2021-03-23,Kab. Sumenep,10500
2021-03-23,Kab. Trenggalek,10000
2021-03-23,Kab. Tuban,9500
2021-03-23,Kab. Tulungagung,9500
2021-03-23,Kota Batu,10500
2021-03-23,Kota Blitar,10500
2021-03-23,Kota Kediri,10500
2021-03-23,Kota Madiun,10000
2021-03-23,Kota Malang,10500
2021-03-23,Kota Mojokerto,11000
2021-03-23,Kota Pasuruan,11000
2021-03-23,Kota Probolinggo,10000
2021-03-23,Kota Surabaya,10500
2021-03-24,Kab. Bangkalan,11000
2021-03-24,Kab. Banyuwangi,10000
2021-03-24,Kab. Blitar,9500
2021-03-24,Kab. Bojonegoro,10500
2021-03-24,Kab. Bondowoso,10500
2021-03-24,Kab. Gresik,10600
2021-03-24,Kab. Jember,11000
2021-03-24,Kab. Jombang,9500
2021-03-24,Kab. Kediri,9500
2021-03-24,Kab. Lamongan,10000
2021-03-24,Kab. Lumajang,10500
2021-03-24,Kab. Madiun,9750
2021-03-24,Kab. Magetan,10000
2021-03-24,Kab. Malang,
2021-03-24,Kab. Mojokerto,9300
2021-03-24,Kab. Nganjuk,9300
2021-03-24,Kab. Ngawi,
2021-03-24,Kab. Pacitan,9800
2021-03-24,Kab. Pamekasan,11000
2021-03-24,Kab. Pasuruan,10500
2021-03-24,Kab. Ponorogo,9500
2021-03-24,Kab. Probolinggo,9600
2021-03-24,Kab. Sampang,10500
2021-03-24,Kab. Sidoarjo,10300
2021-03-24,Kab. Situbondo,10500
2021-03-24,Kab. Sumenep,10500
2021-03-24,Kab. Trenggalek,10000
2021-03-24,Kab. Tuban,9500
2021-03-24,Kab. Tulungagung,9500
2021-03-24,Kota Batu,
2021-03-24,Kota Blitar,10500
2021-03-24,Kota Kediri,10000
2021-03-24,Kota Madiun,10000
2021-03-24,Kota Malang,10500
2021-03-24,Kota Mojokerto,11000
2021-03-24,Kota Pasuruan,11000
2021-03-24,Kota Probolinggo,10000
